@Paeruginosa|NC_008463|6537648
@Strain	Refseq_Accession	Replicon	Locus_Tag	Feature_Type	Start	Stop	Strand	Gene_Name
Paeruginosa	NC_008463	Chromosome	PA14_00010	gene	483	2027	+	dnaA
Paeruginosa	NC_008463	Chromosome	PA14_00020	gene	2056	3159	+	dnaN
Paeruginosa	NC_008463	Chromosome	PA14_00030	gene	3169	4278	+	recF
Paeruginosa	NC_008463	Chromosome	PA14_00050	gene	4275	6695	+	gyrB
Paeruginosa	NC_008463	Chromosome	PA14_00060	gene	7018	7791	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00070	gene	7803	8339	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00080	gene	8671	10377	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00090	gene	10434	12488	-	glyS
Paeruginosa	NC_008463	Chromosome	PA14_00100	gene	12488	13435	-	glyQ
Paeruginosa	NC_008463	Chromosome	PA14_00110	gene	13540	14091	+	tag
Paeruginosa	NC_008463	Chromosome	PA14_00120	gene	14236	15123	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00130	gene	15208	15474	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00140	gene	15621	16274	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00150	gene	16336	16608	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00160	gene	16923	17240	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00170	gene	17389	18762	-	trkA
Paeruginosa	NC_008463	Chromosome	PA14_00180	gene	18789	20093	-	sun
Paeruginosa	NC_008463	Chromosome	PA14_00190	gene	20090	21034	-	fmt
Paeruginosa	NC_008463	Chromosome	PA14_00200	gene	21088	21594	-	def
Paeruginosa	NC_008463	Chromosome	PA14_00210	gene	21733	22758	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00230	gene	22893	23981	+	smf
Paeruginosa	NC_008463	Chromosome	PA14_00240	gene	24022	24579	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00250	gene	24589	25566	-	qor
Paeruginosa	NC_008463	Chromosome	PA14_00280	gene	25757	26674	+	hemF
Paeruginosa	NC_008463	Chromosome	PA14_00290	gene	26732	27556	+	aroE
Paeruginosa	NC_008463	Chromosome	PA14_00300	gene	27667	28653	+	plcB
Paeruginosa	NC_008463	Chromosome	PA14_00310	gene	28634	29920	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00320	gene	29917	30519	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00340	gene	30523	32076	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00360	gene	32081	33004	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00380	gene	33021	34532	-	betC
Paeruginosa	NC_008463	Chromosome	PA14_00400	gene	34645	35559	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00410	gene	35570	35947	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00420	gene	35926	36291	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00430	gene	36299	36922	-	bvga
Paeruginosa	NC_008463	Chromosome	PA14_00440	gene	37108	37914	-	trpA
Paeruginosa	NC_008463	Chromosome	PA14_00450	gene	37911	39119	-	trpB
Paeruginosa	NC_008463	Chromosome	PA14_00460	gene	39223	40110	+	trpI
Paeruginosa	NC_008463	Chromosome	PA14_00470	gene	40211	40426	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00480	gene	40610	40837	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00490	gene	41133	42821	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00510	gene	42934	53265	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00520	gene	54577	54699	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00530	gene	54909	55304	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00550	gene	55575	56984	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00560	gene	57148	58476	+	exoT
Paeruginosa	NC_008463	Chromosome	PA14_00570	gene	59018	59704	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00580	gene	59735	60088	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00590	gene	60241	60750	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00600	gene	60765	61148	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00620	gene	61430	63091	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00630	gene	63701	63841	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00640	gene	64665	66497	+	phzH
Paeruginosa	NC_008463	Chromosome	PA14_00650	gene	66550	66978	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00660	gene	67187	67735	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00670	gene	67774	68280	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00680	gene	68346	69266	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00690	gene	69374	70261	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00700	gene	70324	71028	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00710	gene	71112	71567	+	osmC
Paeruginosa	NC_008463	Chromosome	PA14_00720	gene	71678	71911	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00730	gene	71923	72360	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00740	gene	72417	72833	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00750	gene	72925	74052	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00760	gene	74060	75043	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00770	gene	75076	75741	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00780	gene	75734	76276	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00790	gene	76354	78399	+	prlC
Paeruginosa	NC_008463	Chromosome	PA14_00800	gene	78396	78671	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00810	gene	78760	79818	+	.
Paeruginosa	NC_008463	Chromosome	PA14_00820	gene	80049	80963	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00830	gene	81025	82737	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00850	gene	82730	83929	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00860	gene	83929	84648	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00875	gene	84645	87743	-	ppkA
Paeruginosa	NC_008463	Chromosome	PA14_00890	gene	87751	88479	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00900	gene	88489	89169	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00910	gene	89166	92474	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00925	gene	92696	94045	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00940	gene	94052	95386	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00960	gene	95402	95866	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00970	gene	95911	96453	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00980	gene	96450	97409	-	.
Paeruginosa	NC_008463	Chromosome	PA14_00990	gene	97777	98811	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01010	gene	98900	99418	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01020	gene	99431	100927	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01030	gene	101003	101491	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01040	gene	101659	102504	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01060	gene	102506	103015	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01070	gene	103012	104871	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01080	gene	104835	105881	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01100	gene	105874	108582	+	clpB
Paeruginosa	NC_008463	Chromosome	PA14_01110	gene	108629	110560	+	.
Paeruginosa	NC_008463	Chromosome	PA14_01120	gene	110675	110959	-	.
